URL,Value,Duration,Status,Opens,Closes,Quick Links,Overview,Eligibility,Selection Process
https://www.uts.edu.au/scholarship/dr-chau-chak-wing-scholarship-kingold-group,,,Closed,,,/sites/default/files/scholarship-attachments/75330_%24S1_RSPRWD_Dr%20Chau%20Chak%20Wing%20Scholarships%20CoA%20%20Kingold%20%28Cat%20five%29%2020131213.pdf; https://www.uts.edu.au/future-students/international/essential-information/scholarships,Dr Chau Chak Wing Scholarship (Kingold Group) aims to assist Kingold Group Companies Ltd employees to undertake a Masters coursework degree at UTS in Sydney.,,
https://www.uts.edu.au/scholarship/uts-business-school-scholarship-aspiring-indigenous-students,"$15,000",three (3) years,Closed,27/03/2023,24/04/2023,/sites/default/files/2023-03/CoA%20UTS%20Business%20School%20Scholarship%20for%20Aspiring%20Indigenous%20Students%20PUBLISHED.pdf,Future Super exists to create a prosperous future free from climate change and inequality. This Scholarship aims to provide financial support to a high achieving Indigenous student in an eligible undergraduate degree in the UTS Business School.,"As demonstrated in the Scholarship application and/or interview:
Academic merit, demonstrated by:
	ATAR (or equivalent) for School Leavers.
GPA in current course for continuing UTS students.

Alignment of values, culture and goals with that of Future Super.
Motivation to succeed in their UTS Business School course.
Demonstrated initiative in personal and professional life.","As demonstrated in the Scholarship application and/or interview:
Academic merit, demonstrated by:
	ATAR (or equivalent) for School Leavers.
GPA in current course for continuing UTS students.

Alignment of values, culture and goals with that of Future Super.
Motivation to succeed in their UTS Business School course.
Demonstrated initiative in personal and professional life."
https://www.uts.edu.au/scholarship/jumbunna-commencement-scholarship,"Varies ($500 to $6,000)",One (1) session,Closed,23/12/2022,14/03/2023,/sites/default/files/2019-01/CoA%20Jumbunna%20Commencement%20Scholarship%20v6.02%20PUBLISHED.pdf; https://www.uts.edu.au/future-students/indigenous-australians,This scholarship was established by the Jumbunna Institute for Indigenous Education and Research (‘Jumbunna’) to support commencing Indigenous students at the start of their undergraduate studies at UTS.,"Applications are not required for this scholarship as this is not a competitive scholarship.
Eligible candidates will be identified through UTS and Universities Admission Centre (UAC) data.
Eligibility criteria above will be used to identify and select all recipients.","Applications are not required for this scholarship as this is not a competitive scholarship.
Eligible candidates will be identified through UTS and Universities Admission Centre (UAC) data.
Eligibility criteria above will be used to identify and select all recipients."
https://www.uts.edu.au/scholarship/weiranderson-foundation-women-leadership-scholarship,"$30,000",3 years,Closed,07/05/2021,07/06/2021,/sites/default/files/2021-05/CoA_The%20WeirAnderson%20Foundation%20Women%20in%20Leadership%20Scholarship_V1.00%20FINAL_PUBLISHED.pdf; https://www.uac.edu.au/future-applicants/scholarships-and-schemes/equity-scholarships; http://www.weiranderson.com/,"The Scholarship aims to support a female student who has experienced educational barriers, and is commencing an undergraduate UTS Business School degree.","Having met the eligibility criteria, the recipient will be selected based on the following criteria:
Motivation and commitment to succeed in their UTS Business degree program.
Demonstrate passion about a career in business .
Demonstrate entrepreneurial initiative to seek opportunities to continually advance their professional and personal lives.
Motivation to implement long-term goals to overcome adversity","Having met the eligibility criteria, the recipient will be selected based on the following criteria:
Motivation and commitment to succeed in their UTS Business degree program.
Demonstrate passion about a career in business .
Demonstrate entrepreneurial initiative to seek opportunities to continually advance their professional and personal lives.
Motivation to implement long-term goals to overcome adversity"
https://www.weiranderson.com/,,,,,,,,,
https://www.uts.edu.au/scholarship/uts-undergraduate-tuition-fee-scholarship,20% of UTS tuition fees,Standard duration of the course,Open,,19/10/2021,/sites/default/files/2022-12/UTS%20UG%20Tuition%20Fee%20Scholarship_CoA_V4.00_PUBLISHED.pdf,This Scholarship was established to attract commencing international students enrolling in an undergraduate coursework program at UTS in Sydney.,Acceptance of the selected UTS undergraduate coursework program (including payment of deposit required).,Acceptance of the selected UTS undergraduate coursework program (including payment of deposit required).
https://www.uts.edu.au/scholarship/dr-chau-chak-wing-scholarship-silc-pathway,"1 Session Tuition fee exemption + $10,000",One (1) session,Closed,01/03/2023,30/04/2023,/sites/default/files/2022-03/CoA%20Dr%20Chau%20Chak%20Wing%20Scholarship%20%28SILC%20Pathway%29%20v1.2%20PUBLISHED.pdf; https://shusilc.shu.edu.cn/; https://www.uts.edu.au/alumni-and-supporters/give/impact-of-giving/broadening-horizons; https://www.uts.edu.au/future-students/international/essential-information/scholarships,"Dr Chau Chak Wing Scholarship (SILC Pathway) aims to assist students who have completed the UTS College Diploma at the Sydney Institute of Language and Commerce (SILC), have enrolled for the UTS Bachelor of Business (BBus) and who will undertake study at UTS in Sydney as part of their degree.","Applicants are selected based on:
Recommendation by SILC; with candidates ranked in order of academic merit and presented in order of priority by SILC.
The Scholarship Selection Committee will apply academic merit in the first instance and then apply any other criteria (such as personal statements) to distinguish between otherwise equally ranked applicants.","Applicants are selected based on:
Recommendation by SILC; with candidates ranked in order of academic merit and presented in order of priority by SILC.
The Scholarship Selection Committee will apply academic merit in the first instance and then apply any other criteria (such as personal statements) to distinguish between otherwise equally ranked applicants."
https://www.uts.edu.au/scholarship/ibm-diversity-access-scholarship,"$5,000",1 Year,Closed,31/07/2023,04/10/2023,/sites/default/files/2021-07/CoA_IBM%20Diversity%20Access%20Scholarship_V1.00%20PUBLISHED.pdf,"The Scholarship aims to provide financial support to a female student who has experienced educational disadvantage(s), and is commencing or continuing an MBA degree in the UTS Business School.","As demonstrated in the Scholarship application and interview, the Recipient will be selected based on the following Selection Criteria:
Motivation and commitment to succeed in their UTS Business MBA degree and passionate about a business career;
Demonstrated entrepreneurial initiative to seek opportunities to continually advance their professional and personal lives;
Motivation to implement long-term goals to overcome adversity.","As demonstrated in the Scholarship application and interview, the Recipient will be selected based on the following Selection Criteria:
Motivation and commitment to succeed in their UTS Business MBA degree and passionate about a business career;
Demonstrated entrepreneurial initiative to seek opportunities to continually advance their professional and personal lives;
Motivation to implement long-term goals to overcome adversity."
https://www.uts.edu.au/scholarship/uts-indigenous-business-school-scholarship,"$5,000",One (1) year,Open,13/09/2023,22/10/2023,/sites/default/files/2022-02/CoA_UTS%20Indigenous%20Business%20School%20Scholarship_V2.00%20PUBLISHED.pdf; https://forms.uts.edu.au/index.cfm?FormId=1130; https://www.uac.edu.au/current-applicants/equity-scholarships; https://www26.uac.edu.au/esapply/; https://www.uac.edu.au/future-applicants/scholarships-and-schemes/educational-access-schemes; https://www.uts.edu.au/research-and-teaching/our-research/jumbunna-institute-indigenous-education-and-research; https://www.uts.edu.au/sites/default/files/2018-12/sau-jumbunna-statutory-declaration-form-v2.01.pdf,The Scholarship aims to support a commencing first year Indigenous Australian student undertaking any UTS eligible undergraduate degree in the UTS Business School.,"As demonstrated in the Scholarship application and interview:Demonstrated potential for excellence and/or drive;Motivation to succeed in the chosen UTS course;Demonstrated initiative to seek opportunities to continually advance their professional and personal lives;Initiative and leadership potential as evidenced by extracurricular and non-academic activities.In addition, preference will be given to applicants who have demonstrated financial disadvantage and/or other education barriers.","As demonstrated in the Scholarship application and interview:Demonstrated potential for excellence and/or drive;Motivation to succeed in the chosen UTS course;Demonstrated initiative to seek opportunities to continually advance their professional and personal lives;Initiative and leadership potential as evidenced by extracurricular and non-academic activities.In addition, preference will be given to applicants who have demonstrated financial disadvantage and/or other education barriers."
https://www.uts.edu.au/scholarship/endeavour-cheung-kong-student-exchange-program-scholarships,"$5,000",,Closed,,,http://www.uts.edu.au/current-students/opportunities/global-exchange/what-global-exchange,"The Endeavour Cheung Kong Student Exchange Program is a unique program supported by the Australian government and the Cheung Kong Group to support student exchange between Australia and Asian partner universities. For more details about scholarships, please visithttps://www.uts.edu.au/scholarship/endeavour-cheung-kong-student-exchange-program-scholarships","UTS International will assess all applications.
Grant allocations will be based on academic merit as determined by students' weighted average mark in their current UTS degree at the time of assessment.","UTS International will assess all applications.
Grant allocations will be based on academic merit as determined by students' weighted average mark in their current UTS degree at the time of assessment."
https://www.uts.edu.au/scholarship/australia-awards-scholarships-australian-government-scholarships,Various,,Closed,,,http://dfat.gov.au/people-to-people/australia-awards/Pages/australia-awards-scholarships.aspx,"Australia awards are prestigious international scholarships managed by the Australian Department of Foreign Affairs and Trade (DFAT).Australian Awards Scholarships provide opportunities for candidates from Australia's partner countries to undertake full time study in Australian tertiary and technical institutions, including the University of Technology Sydney (UTS).The targeted fields of study under the Australia Awards Scholarships differs from country to country and are determined by the recipient countries human resource and development needs and in accordance with Australia's bilateral aid program.Australia Awards Scholarships contribute to the long term objectives of partner countries (opens an external site) to promote growth and stability. They equip students with the skills and knowledge to drive change and contribute to the economic and social development of their own countries.For full details of the scholarships please visit http://dfat.gov.au/people-to-people/australia-awards/pages/australia-awards-scholarships.aspx","Applications closed

For detailed information on Australia Award Scholarships, including its selection criteria, eligible countries and when and how to apply, refer to the Australia Awards Scholarship website (opens an external site).",
